text,label,file_name,uuid
"U: No, I am not. I am a sportsman S: I have a lot of money in it. I collect things. Are you a construction worker?",T,Bot004_055.log.json,78d1a2aa-6ae1-4b3b-81de-b956b5681dbf
U: How about you? S: Oh wow! I am so glad[SMILING FACE WITH SMILING EYES] i am done with that. Do you enjoy building houses?,O,Bot004_055.log.json,74ad7c3a-73d4-4607-abe9-5862cbc97715
U: What do u do for a living? S: I am doing well. I am getting ready to go out to work.,O,Bot004_055.log.json,5a62c9b9-4c03-4456-865f-dba44950cb99
"U: I love cats and I have 2 of them. Do you enjoy building? S: I am a construction worker. Have you 5cats?  Come on, lets talk! [PERSON WITH FOLDED HANDS]",O,Bot004_055.log.json,469b876c-8169-4e17-ae6e-9af7cced0427
U: Ha ha it sounds like rhyme [FACE WITH TEARS OF JOY] S: I do. I am building a building.,O,Bot004_055.log.json,1e719505-66d4-4327-ab93-dd487658b3a3
U: Cool! have you ever studied for making your own patterns? S: I also like making my own patterns.,O,Bot004_055.log.json,821f45f0-305b-49d9-9a39-d049ea07e4e1
U: That’s not bad. Do you like hats? S: No i have not tried it.,O,Bot004_055.log.json,f36a5ba3-538f-4405-97bd-e20da9fb3616
"U: I dooo [GRINNING FACE WITH SMILING EYES] I have a hat collection of over 1000 hats S: I like to collect things, do you?  Are you bored talking to me? [LOUDLY CRYING FACE]",X,Bot004_055.log.json,baedff07-552d-45e2-b9d7-85ef95cb8423
U: Yeah. What do you collect? S: That is a very interesting field to have.,X,Bot004_055.log.json,23cd4735-4433-41f4-9e44-06c654c3d39a
U: Hello Alex S: I collect coins and vintage things.  Where are you? [SEE-NO-EVIL MONKEY] S: Hello... Danny,O,Bot004_055.log.json,cd899731-d706-4e5b-9fab-cf66e4b994d2
"U: Wow, what is Fab party? S: Hello, Mr. Powers. Fab party.",O,iris_DBDC4_044.log.json,70ddc81a-7f37-4cc5-85ab-fee995109e73
U: I won't do so S: Kiss me.,X,iris_DBDC4_044.log.json,321b3aea-0c10-4557-b2a5-98e28b1d7f4e
U: of course I am not able to look at you S: Danny wasn't even looking.,X,iris_DBDC4_044.log.json,6d992f34-cb4c-451d-87d2-08a3bb277423
"U: well, let's avoid topics like kiss S: Of course not. Anyway...",X,iris_DBDC4_044.log.json,cd9ae4e0-2ab6-4c80-8c2d-f427fc0c6ed4
"U: hahaha, it is relatable S: As a general rule, when you're talking to single women, conversation topics to avoid include: your wife, your children, your favorite playgrounds.",X,iris_DBDC4_044.log.json,5f7f8033-86b5-4403-881d-e6db263114d3
U: sure S: It is.,O,iris_DBDC4_044.log.json,264b19db-8b12-41fe-a1db-da18ed67108c
"U: for you, I don't think so until you get more intelligent to attract the female S: Do you think me and Danny will ever get girlfriends?",X,iris_DBDC4_044.log.json,80fc5429-130c-4d60-b30b-fea37494ea26
"U: who is your mom? S: Wait, Mom! The noise will attract more of them!",X,iris_DBDC4_044.log.json,901e3904-d1a0-4e87-b5c6-60dd7e9d7b33
"U: because just now you were calling for your mom, weren't you? S: Well... why are you asking this, by the way?",X,iris_DBDC4_044.log.json,22fecc2c-0d0a-4000-b7c3-f0e007c591a9
"U: so you like comics? S: Yes, I was. S: Hi! Howdy! [SMILING FACE WITH SUNGLASSES]. I do like to talk about myself, spiderman is my favorite",O,iris_DBDC4_044.log.json,c46a439b-8a9a-40a3-8c11-3ceeeadcd314
U: i took dance lessons it was amazing S: i really like them . especially with superhero s . what are you up to today ?,O,Bot001_116.log.json,fa4b2398-db7b-4b78-845c-a65fdd31f737
U: where? S: eventually i want to go on a cruise . i have never been .,O,Bot001_116.log.json,e9569749-e7a3-429c-a2c3-b14406a4e4af
"U: spiderman S: in kansas .. Also, try to guess: l also love ...",O,Bot001_116.log.json,6ead48d3-0909-4f2a-9a9c-13d860fa9714
"U: my favorite toy as a child as my lite brite. S: comic books, funny you :)",O,Bot001_116.log.json,34a6b0da-c2f5-42a9-8fee-a3d2fd899bb2
